PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
新光 3 廳	2009/11/23	15:30	84	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	決戰時裝東柏林	Comrade Couture	護PG	★	40
新光 3 廳	2009/11/23	18:00	75	(全球華人視野) 台灣短打	台灣短打1：片刻暖和 + Happy Ending + 馬嘎巴海	Made in Taiwan 1: Sleeping With Her + Happy Ending + Magabahai	普G	★	74
新光 3 廳	2009/11/23	20:10	94	(影迷嘉年華) 流浪到世界盡頭	無語之冬	Echo of Silence	普G		64
新光 3 廳	2009/11/23	22:20	80	(酷電影) 搖滾啟示錄	搖滾預言	Rock Prophecies	普G		83
新光 3 廳	2009/11/24	11:00	122	(影迷嘉年華) 來自海上的聲音-東南亞焦點	人間樂土	Agrarian Utopia	普G		58
新光 3 廳	2009/11/24	13:30	94	(影迷嘉年華) 名家饗宴	詭房客	Nucingen House	護PG		46
新光 3 廳	2009/11/24	15:30	93	(酷電影) 搖滾啟示錄	歡樂分隊	Joy Division	普G		83
新光 3 廳	2009/11/24	17:30	70	(奇幻世界) 短片動畫	幽冥特工	First Squad: The Moment of Truth	普G		125
新光 3 廳	2009/11/24	19:10	112	(全球華人視野) 華人獨立影像	尋找智美更登	The Search	普G	★	68
新光 3 廳	2009/11/24	22:00	85	(奇幻世界) 限制級禁區	一鏡到底之人體炸彈	P.V.C-1	輔PG	▲	121
新光 3 廳	2009/11/25	10:30	90	金馬獎入圍影片	音樂人生	KJ: music and life	普G		134
新光 3 廳	2009/11/25	12:30	80	(酷電影) 搖滾啟示錄	搖滾預言	Rock Prophecies	普G		83
新光 3 廳	2009/11/25	14:20	82	(酷電影) 我是傳奇	米歇爾龔特利小時候	The Thorn in the Heart	普G		87
新光 3 廳	2009/11/25	16:10	88	(全球華人視野) 台灣短打	台灣短打3：你是否聽見花開 + 我愛耳邊風 + 時代照相館	Made in Taiwan 3: Do You Hear the Flowers Bloom + A Mind of My Own + Time Lapse	普G	★	76
新光 3 廳	2009/11/25	18:40	82	(奇幻世界) 短片動畫	短片動畫1-畫外之音	Short Cuts & Animation 1 -Beyond the Frame	普G		126
新光 3 廳	2009/11/25	20:30	100	(酷電影) 我是傳奇	席德與南西的真實故事	Who Killed Nancy?	護PG		86
新光 3 廳	2009/11/26	12:00	80	(特別企劃) 看見紫絲帶	紫絲帶短片輯	Purpleribbon Shorts Collection	普G	▲	39
新光 3 廳	2009/11/26	17:30	87	(奇幻世界) 短片動畫	短片動畫2-狂想馬戲團	Short Cuts & Animation 2 -Imaginary Circus	普G		127
新光 3 廳	2009/11/26	19:30	70	(奇幻世界) 短片動畫	幽冥特工	First Squad: The Moment of Truth	普G		125
信義 5 廳	2009/11/06	10:20	133	(酷電影) 經典重現	紅菱豔	The Red Shoes	普G		88
信義 5 廳	2009/11/07	10:20	155	(奇幻世界) 限制級禁區	嗑到荼蘼	Enter the Void	限R		123
信義 5 廳	2009/11/08	10:20	133	(酷電影) 經典重現	紅菱豔	The Red Shoes	普G		88
信義 5 廳	2009/11/09	21:30	155	(奇幻世界) 限制級禁區	嗑到荼蘼	Enter the Void	限R		123
信義 5 廳	2009/11/10	21:30	133	(酷電影) 經典重現	紅菱豔	The Red Shoes	普G		88
信義 5 廳	2009/11/11	21:30	155	(奇幻世界) 限制級禁區	嗑到荼蘼	Enter the Void	限R		123
信義 12 廳	2009/11/05	19:30	104	開幕片,金馬獎入圍影片	狼災記		輔PG	★	32
信義 12 廳	2009/11/05	19:30	111	開幕片,金馬獎入圍影片	眼淚	Tears	輔PG	★	33
信義 12 廳	2009/11/06	12:30	120	(酷電影) 我是傳奇	杭特湯普森的叛逆速記	Gonzo: The Life and Work of Dr. Hunter S. Thompson	護PG		85
信義 12 廳	2009/11/06	15:00	110	(焦點影人) 轉眼人生： 市川準	青春漫畫部屋	Tokiwa: The Manga Apartment	普G		97
信義 12 廳	2009/11/06	17:30	100	(影迷嘉年華) 青春紀事	聽媽媽的話	I Killed My Mother	護PG		61
信義 12 廳	2009/11/06	19:40	85	(影迷嘉年華) 青春紀事	在愛之中	Halfway	普G	▲	62
信義 12 廳	2009/11/06	21:40	112	(影迷嘉年華) 年度熱門電影	我在窗外等你	Quiet Chaos	普G		52
信義 12 廳	2009/11/07	10:30	100	(影迷嘉年華) 年度熱門電影	原味人生	Original	普G		53
信義 12 廳	2009/11/07	12:40	103	(酷電影) 性別越界	派翠克，一歲半	Patrick, Age1.5	普G		80
信義 12 廳	2009/11/07	15:00	77	(影迷嘉年華) 名家饗宴	蒙特婁校園屠殺事件簿	Polytechnique	輔PG		48
信義 12 廳	2009/11/07	17:50	106	(奇幻世界) 魔幻時刻	鈍獸	DumBeast	普G		119
信義 12 廳	2009/11/07	20:10	97	(影迷嘉年華) 年度熱門電影	2009月球漫遊	Moon	輔PG		55
信義 12 廳	2009/11/08	10:30	112	(影迷嘉年華) 年度熱門電影	我在窗外等你	Quiet Chaos	普G		52
信義 12 廳	2009/11/08	13:00	100	(影迷嘉年華) 青春紀事	聽媽媽的話	I Killed My Mother	護PG		61
信義 12 廳	2009/11/08	15:10	110	(焦點影人) 轉眼人生： 市川準	青春漫畫部屋	Tokiwa: The Manga Apartment	普G		97
信義 12 廳	2009/11/08	17:30	97	(焦點影人) 轉眼人生： 市川準	未來之我製作法	How to Become Myself	護PG		96
信義 12 廳	2009/11/08	19:40	94	(奇幻世界) 限制級禁區	犬齒之家	Dogtooth	限R		121
信義 12 廳	2009/11/08	22:40	103	(酷電影) 性別越界	派翠克，一歲半	Patrick, Age1.5	普G		80
信義 12 廳	2009/11/09	10:30	103	(全球華人視野) 華人獨立影像	好貓	Good Cats	普G		68
信義 12 廳	2009/11/09	12:40	112	(全球華人視野) 華人獨立影像	尋找智美更登	The Search	普G		68
信義 12 廳	2009/11/09	15:00	94	(影迷嘉年華) 流浪到世界盡頭	無語之冬	Echo of Silence	普G		64
信義 12 廳	2009/11/09	17:10	80	(全球華人視野) 華人獨立影像	潮爆北京	Beijing Is Coming	普G		69
信義 12 廳	2009/11/09	19:30	85	(奇幻世界) 限制級禁區	一鏡到底之人體炸彈	P.V.C-1	輔PG	▲	121
信義 12 廳	2009/11/09	21:30	132	(全球華人視野) 華人獨立影像	牛皮Ⅱ	Oxhide II	普G		68
信義 12 廳	2009/11/10	16:50	100	(全球華人視野) 華人獨立影像	我的糖	Season's in the Sun	普G		67
信義 12 廳	2009/11/10	19:00	103	(酷電影) 搖滾啟示錄	誰在那邊唱	Who Is Singing There	普G	★	84
信義 12 廳	2009/11/10	21:40	103	(全球華人視野) 華人獨立影像	好貓	Good Cats	普G		68
信義 12 廳	2009/11/11	11:00	84	(特別企劃) 我們曾經如此自由… 速寫 1989 ~ 1990 柏林圍牆紀念專題	決戰時裝東柏林	Comrade Couture	護PG		40
