PLACE	DATE	TIME	DURATION	CATEGORY	CTITLE	ETITLE	GRADE	REMARK	PAGE
光點華山電影館1廳	11/13	21:50	115	次文化派對 / 性別越界	看不見的同志	Les Invisibles	限		177
光點華山電影館 2 廳	11/13	12:00	98	華語電影世界 / 中國獨立映像	楊梅洲	Song of Silence	限		97
光點華山電影館 2 廳	11/13	19:00	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普	★	94
光點華山電影館 2 廳	11/13	21:50	115	次文化派對 / 性別越界	看不見的同志	Les Invisibles	限		177
宜蘭演藝廳	11/13	12:40	102	焦點影人 / 荻上直子	海鷗食堂	Kamome Diner	普		254
宜蘭演藝廳	11/13	15:00	106	焦點影人 / 荻上直子	樂活俱樂部	Glasses	普		253
宜蘭演藝廳	11/13	17:20	96	焦點影人 / 荻上直子	吉野理髮之家	Yoshino&#39;s Barber Shop	普		255
宜蘭演藝廳	11/13	19:30	113	影迷嘉年華 / 歐洲速寫	最寂寞的星球	The Loneliest Planet	限		149
友愛影城A廳	11/13	15:30	123	入圍影片	陣頭	Din Tao: Leader of the Parade	護		61
友愛影城A廳	11/13	18:30	172	入圍影片	白鹿原	White Deer Plain	限		48
國賓影城＠長春廣場 A 廳	11/14	12:30	80	影迷嘉年華 / 極光掠影	囧男登大人	The Almost Man	限		155
國賓影城＠長春廣場 A 廳	11/14	14:30	99	次文化派對 / 經典影事	基努李維之數位任務	Side by Side	護		214
國賓影城＠長春廣場 A 廳	11/14	16:50	85	次文化派對 / 午夜禁地	別關燈	When the Lights Went Out	護		189
國賓影城＠長春廣場 A 廳	11/14	19:00	120	焦點影人 / 布里蘭特曼多薩	人質	Captive	限	★	224
國賓影城＠長春廣場 A 廳	11/14	22:00	103	影迷嘉年華 / 亞洲爭鳴	閃亮女聲	The Sapphires	護		129
新光影城 2 廳	11/14	12:40	146	影迷嘉年華 / 亞洲爭鳴	寶萊塢之戀夏雞尾酒	Cocktail	護		126
新光影城 2 廳	11/14	15:50	121	影迷嘉年華 / 亞洲爭鳴	妻人太甚	All About My Wife	輔	▲	122
新光影城 2 廳	11/14	18:40	93	影迷嘉年華 / 歐洲速寫	嫁禍	Kuma	護	▲	146
新光影城 2 廳	11/14	21:00	110	焦點影人 / 布里蘭特曼多薩	阿嬤打官司	Lola	普	★	225
新光影城 3 廳	11/14	14:20	80	次文化派對 / 音樂啟示錄	安朱鳥：發燒年代	Andrew Bird: Fever year	普		194
新光影城 3 廳	11/14	16:20	115	次文化派對 / 音樂啟示錄	約翰藍儂：紐約城瞬間	LennoNYC	護		198
新光影城 3 廳	11/14	19:00	85	華語電影世界 / 台灣製造	小夏天＋忐忑＋救命	Before Summer Rain, Shadow of the Stiarcases, The Coward	護	★	88
新光影城 3 廳	11/14	21:30	81	次文化派對 / 變奏青春	開膛少女的異想世界	Excision	限		183
光點華山電影館1廳	11/14	11:20	93	次文化派對 / 傳奇人生	維多：電影外的同志	Vito	護		205
光點華山電影館1廳	11/14	13:50	87	華語電影世界 / 台灣製造	四分人＋狀況排除＋寂寞碼頭	BeFore, A Breath from the Bottom, The Solitary Pier	護		87
光點華山電影館1廳	11/14	16:00	110	影迷嘉年華 / 亞洲爭鳴	浪漫暴走族	Hard Romanticker	限		118
光點華山電影館1廳	11/14	18:30	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普		94
光點華山電影館1廳	11/14	21:20	126	影迷嘉年華 / 亞洲爭鳴	精牌大丈夫	Vicky Donor	普	▲	124
光點華山電影館 2 廳	11/14	11:20	93	次文化派對 / 傳奇人生	維多：電影外的同志	Vito	護		205
光點華山電影館 2 廳	11/14	13:50	87	華語電影世界 / 台灣製造	四分人＋狀況排除＋寂寞碼頭	BeFore, A Breath from the Bottom, The Solitary Pier	護		87
光點華山電影館 2 廳	11/14	16:00	110	影迷嘉年華 / 亞洲爭鳴	浪漫暴走族	Hard Romanticker	限		118
光點華山電影館 2 廳	11/14	18:30	108	華語電影世界 / 中國獨立映像	有人讚美聰慧，有人則不	Don’t Expect Praises	普	★	94
宜蘭演藝廳	11/14	12:40	109	焦點影人 / 荻上直子	廁所	Toilet	普		252
宜蘭演藝廳	11/14	15:00	82	影迷嘉年華 / 亞洲爭鳴	湖心蕩漾三人行	Valley of Saints	護		128
宜蘭演藝廳	11/14	17:00	110	焦點影人 / 荻上直子	吉貓出租	Rent-a-Cat	普		251
宜蘭演藝廳	11/14	19:30	101	華語電影世界 / 台灣製造	即使她們從未相見＋門縫前的包裹＋撿影	Even They Never Met, The Gift, Framing of Life	護	★	86
友愛影城A廳	11/14	15:30	107	入圍影片	候鳥來的季節	Stilt	護		62
友愛影城A廳	11/14	17:30	106	入圍影片	BBS鄉民的正義	Silent Code	護	◎	68
友愛影城A廳	11/14	19:30	107	入圍影片	大追捕	Nightfall	輔		50
國賓影城＠長春廣場 A 廳	11/15	11:40	103	影迷嘉年華 / 亞洲爭鳴	閃亮女聲	The Sapphires	護		129
國賓影城＠長春廣場 A 廳	11/15	14:00	102	影迷嘉年華 / 拉丁狂熱	露西亞離開之後	After Lucia	限		170
國賓影城＠長春廣場 A 廳	11/15	16:40	95	影迷嘉年華 / 極光掠影	八月三十一日，我在奧斯陸	Oslo, August 31st	輔		153
國賓影城＠長春廣場 A 廳	11/15	19:00	106	華語電影世界 / 台灣製造	命運狗不理	Legend of The T-Dog	普	★	85
國賓影城＠長春廣場 A 廳	11/15	21:50	111	影迷嘉年華 / 歐洲速寫	如果愛是這樣	Our Children	輔		135
新光影城 2 廳	11/15	11:40	92	次文化派對 / 變奏青春	我愛看美眉	18 Years Old and Raising	普		182
新光影城 2 廳	11/15	14:00	116	次文化派對 / 性別越界	彩虹保衛隊	The Parade	輔		175
新光影城 2 廳	11/15	16:40	93	次文化派對 / 午夜禁地	鍵到鬼	Don&#39;t Click	輔		192
新光影城 2 廳	11/15	19:00	105	焦點影人 / 布里蘭特曼多薩	男孩看見血地獄	Kinatay	限	★	226
新光影城 2 廳	11/15	21:50	125	焦點影人 / 狄奧安哲羅普洛斯	霧中風景	Landscape in the Mist	普	▲	239
新光影城 3 廳	11/15	11:50	142	影迷嘉年華 / 亞洲爭鳴	不中用的我仰望天空	The Cowards Who Looked to the Sky	限		119
新光影城 3 廳	11/15	15:00	95	次文化派對 / 午夜禁地	厄夜茉莉	Lovely Molly	限		191
新光影城 3 廳	11/15	17:20	71	次文化派對 / 動畫集錦：童趣樂園	一顆偷偷落下的魚眼淚	Una Furtiva Lagrima	護		219
新光影城 3 廳	11/15	19:30	92	次文化派對 / 性別越界	無條件為你	Unconditional	輔		180
新光影城 3 廳	11/15	21:50	89	影迷嘉年華 / 名家饗宴	愛,在他鄉	In Another Country	普		114
光點華山電影館1廳	11/15	13:00	115	次文化派對 / 性別越界	看不見的同志	Les Invisibles	限		177
光點華山電影館1廳	11/15	15:40	85	華語電影世界 / 台灣製造	小夏天＋忐忑＋救命	Before Summer Rain, Shadow of the Stiarcases, The Coward	護		88
光點華山電影館1廳	11/15	17:50	52	次文化派對 / 經典影事	英格麗褒曼vs. 安娜麥蘭妮	Bergman & Magnani: The War of Volcanoes	護		210
光點華山電影館1廳	11/15	19:30	82	影迷嘉年華 / 亞洲爭鳴	湖心蕩漾三人行	Valley of Saints	護		128
光點華山電影館1廳	11/15	21:40	100	次文化派對 / 傳奇人生	如果在法國。一個旅人	Journal de France	普	▲	202
光點華山電影館 2 廳	11/15	13:00	115	次文化派對 / 性別越界	看不見的同志	Les Invisibles	限		177
光點華山電影館 2 廳	11/15	15:40	85	華語電影世界 / 台灣製造	小夏天＋忐忑＋救命	Before Summer Rain, Shadow of the Stiarcases, The Coward	護		88
光點華山電影館 2 廳	11/15	17:50	52	次文化派對 / 經典影事	英格麗褒曼vs. 安娜麥蘭妮	Bergman & Magnani: The War of Volcanoes	護		210
光點華山電影館 2 廳	11/15	19:30	82	影迷嘉年華 / 亞洲爭鳴	湖心蕩漾三人行	Valley of Saints	護		128
